Job_Code,Job_Title,Siglum
A-TEMP,Temporary,AAI
A-TMPH,Temporary - HR,AAI
APAVAD,Supply Chain Quality Mgr II,AAI
APAVAM,Supply Chain Qual Specialist,AAI
SHADOW,Shadow Payroll,AAI
A-VIE,VIE,AAI
A-VIEH,VIE - HR,AAI
A-INTR,Intern,AAI
APAB4E,HO Procurement Ops Cabin,AAI
998,TBD - AA exempt,AAI
995,TBD - AA Exec B4,AAI
999,ZZDEFAULT- DO NOT USE,AAI
997,TBD - AA non-exempt,AAI
996,TBD - AA blue collar,AAI
F4S02A,A/C Cabin Installer,AAI
EEE09A,Sr Engineer,AAI
APAVAL,Complex Project Leader,AAI
AHA16C,Talent Acquisition Partner I,AAI
1-ROOF,One Roof NA Access,AAI
MOAZZX,"Manager, PMO",AAI
A0A07A,Aircraft Structure Expert,AAI
A0A07B,Aircraft Maintenance Tech,AAI
AFA05B,Payroll Administrator,AAI
AFA05D,Corporate Accountant II,AAI
AGA05A,Sr Coordinator,AAI
ALA03A,TSA Training Assistant,AAI
ALA04A,Contracts Support Coordinator,AAI
ALA04C,Customer Svcs Administrator,AAI
ALA04E,Training Records Coordinator,AAI
ALA04F,FS Logistics Coordinator,AAI
ALA05A,Flight Sim Technician,AAI
ALA05B,Lead Flight Sim Technician,AAI
ALA05C,Flight Sim Technician II,AAI
ALA05D,Lead Flight Sim Technician CO,AAI
ALA05E,Training Delivery Coordinator,AAI
ALA05F,Flight Sim Technician I,AAI
ALA05G,Flight Sim Technician III,AAI
ALA05H,"Supervisor, Contracts Mgmt",AAI
AMA05A,Facilities Coordinator,AAI
ANA05A,Commercial Coordinator,AAI
APA06A,Business Administrator,AAI
AYA04B,Administrative Assistant I,AAI
AYA05B,P&S Coordinator,AAI
AYA06A,Executive Assistant I,AAI
AYA07A,Executive Assistant,AAI
F1F04B,Tool Tech & Dev Coordinator,AAI
F9F06A,Operations Trainer,AAI
FBF03A,Logistics Technician,AAI
FHF04A,HR Assistant,AAI
FHF04B,Digital ONB Coordinator,AAI
FQF05G,Quality Document Specialist I,AAI
AKA18A,Field Svc Representative,AAI
FYF04C,Admin Assistant I,AAI
FYF05B,Admin Assistant II,AAI
FYF05D,Office Manager,AAI
FYF06A,Executive Assistant I,AAI
FYF06B,Project Coordinator,AAI
SWT12B,Warehouse Operator,AAI
SWT12O,Warehouse Specialist,AAI
S5T12A,Hose Production Tester,AAI
SLT13N,Inventory Control Coordinator,AAI
S5T13N,Hose Shop Technician,AAI
SOT13N,Production Coordinator,AAI
SLT14M,Customer Order Specialist,AAI
S7T14A,Customer Order Specialist A220,AAI
SLT14A,Repair & Warranty Specialist,AAI
SWT14B,Tooling Specialist,AAI
SWT14C,Control Station Coordinator,AAI
SWT14H,Autostore Specialist,AAI
SQT14A,Quality Inspector DAR Asst,AAI
SWT14G,Shipping Specialist,AAI
SWT14D,Kitting Operations Technician,AAI
SIT14L,IT Help Desk Support Tech,AAI
SIT14A,IT Support Technician,AAI
SWT14I,Production Planner,AAI
SWT14N,Repair Technician,AAI
SWT14E,Sr Hose Shop Technician,AAI
SWT14A,Transportation Specialist,AAI
SWT14M,Warehouse Assistant,AAI
AYA14A,Sr Administrative Assistant,AAI
AFA15F,Treasury Analyst,AAI
AGA15B,Reg Indust Secrty Bus Partner,AAI
FPF15A,Buyer I,AAI
SLT15C,Customer Order Manager,AAI
SLT15A,AOG Resolution Manager,AAI
FQF15D,Quality Conformance Mgr I,AAI
FQF15B,Quality Lineside Improver I,AAI
F1F15A,AOS Specialist I,AAI
FEF15A,Integrated Planner I,AAI
FPF15B,Supply Ordering Officer I,AAI
FBF15C,Logistics Coordinator I,AAI
F9F15C,Xplant Supply Chain Coord I,AAI
FFF15B,Customs Coordinator,AAI
FEF15D,Industrial Ops Project Lead,AAI
FBF15B,Material Planner I,AAI
FBF15D,Work Planner I,AAI
F9F15A,Performance Mgmt Analyst I,AAI
F9F15B,Secondary Flow Analyst,AAI
SWT15B,Carpentry Lead,AAI
SLT15D,Heavy Maintenance Manager,AAI
SOT15L,Technical Coordinator,AAI
SOT15B,Production Process Manager,AAI
SPT15A,Procurement Specialist,AAI
SQT15L,Quality Inspector,AAI
FHF15B,HR Coordinator,AAI
FHF15A,Training Coordinator,AAI
FGF15B,EHS Coordinator,AAI
F1F15H,Supply Chain Data Analyst,AAI
F1F15G,Paint Shop Tactical Planner,AAI
F1F15D,Facilities Coordinator,AAI
FMF15A,Transport & Fleet Coordinator,AAI
FFF15A,Financial Analyst I,AAI
AFA15G,Financial Data Analyst I,AAI
AOA15C,Business Data Analyst,AAI
KIB16A,Engineer I,AAI
APAVAF,Technical Advisor,AAI
AHA16D,Compensation Analyst,AAI
AIA16A,Systems Administrator,AAI
ALA16B,Quality Mgmt Inspector,AAI
ALA16H,Cust Satisf Imprvmt Prgram Mgr,AAI
ALA16E,Customer Experience Analyst,AAI
ALA16G,Structure Repair Engineer,AAI
ALA16F,Maint Planning Specialist,AAI
ALA16D,Quality Compliance Manager,AAI
FEF16G,Process Perf Engineer I,AAI
FQF16H,Quality Conformance Mgr II,AAI
FQF16G,Quality Documnt Specialist II,AAI
F9F16A,Performance Mgmt Analyst II,AAI
F9F16B,A/C Manager I,AAI
FEF16B,Integrated Planner I,AAI
FEF16D,Manufacturing Engineer I,AAI
FEF16J,ME Prod Process Verif Engineer,AAI
FEF16K,Supplier Manager,AAI
FBF16B,Logistics Coordinator II,AAI
FCF16A,Customer Manager I,AAI
FEF16E,MAP Engineer I,AAI
FQF16D,A/C Attestation Specialist I,AAI
FEF16I,Tool Tech & Dev Engineer I,AAI
FIF16B,SAP Business Analyst,AAI
FFF16B,Financial Analyst II,AAI
FQF16F,Quality Engineer I,AAI
FBF16D,Material Planner II,AAI
FBF16F,Work Planner II,AAI
FBF16G,Inventory Analyst II,AAI
FHF16C,HR Data Analyst,AAI
FHF16B,Technical Learning Advisor,AAI
FHF16A,Technical Trainer I,AAI
FGF16A,EHS Specialist I,AAI
FGF16B,Site Security Specialist,AAI
FJF16A,Cust Lsn/Ferry Flt Coordinator,AAI
F1F16H,Paint Coordinator,AAI
FBF16A,"Supervisor, Ground Handling",AAI
FOF16B,Transport Planner,AAI
FBF16H,OCC Shop Floor Coordinator,AAI
F4F16A,"Supervisor, Flghtlne A/C Clean",AAI
FBF16I,Site Services Coordinator,AAI
F8F16A,Flight Distpatcher II,AAI
FIF16C,Data Analyst Support Ops,AAI
FMF16A,Facilities Fleet Manager,AAI
FFF16C,Customs Specialist I,AAI
ALA16C,Flight Sim Sys Engineer I CO,AAI
APAVBM,Supplier Readiness Cabin Mgr,AAI
AOA16C,Business Mgmt Analyst II,AAI
AEA16A,Project Management Analyst,AAI
AOA16A,Business Operations Analyst II,AAI
KIB17B,Engineer II,AAI
ARAVAB,Corporate Auditor,AAI
APAVAU,Perf. & Imprvmnt - Compet Lead,AAI
AHA17C,Global Mobility Manager,AAI
AHA17F,Benefits Analyst,AAI
AHA17H,HR Data Analyst II,AAI
AFA17D,Senior Accounting Analyst,AAI
AIA17D,Workplace Support Specialist,AAI
ADA17A,Project Manager Trade Shows,AAI
APA17B,Project Buyer,AAI
FPF17D,Buyer II,AAI
APAVBQ,"Manager, Plant Plan & Sched",AAI
FPF17B,Prplsn Sys Dlvry Manager I,AAI
ALA17C,Quality Mgmt Supervisor,AAI
ALA17H,Fleet Efficiency Manager I,AAI
ALA17A,Structure Repair Engineer I,AAI
ALA17B,Technical Solutions Mgr I,AAI
ALA17F,Repair Spares Support Manager,AAI
ALA17G,Flight Sim Sys Engineer II CO,AAI
ALA179,Maintenance Trng Instructor FA,AAI
ALA17E,Structure Supply Engineer,AAI
FOF17D,Technical Project Manager,AAI
FEF17I,Metrology Engineer II,AAI
FEF17G,Tool Tech & Dev Engineer II,AAI
FEF17A,Industrial Engineer II,AAI
FEF17E,Process Perf Engineer II,AAI
FQF17H,Quality Conformance Mgr III,AAI
F4F17A,Project Manager,AAI
FEF17K,Systems Engineer II,AAI
FOF17A,PMO Specialist II,AAI
FEF17H,Integrated Planner II,AAI
F9F17A,A/C Manager II,AAI
FPF17A,Cabin Line Side Spt Spclst I,AAI
FEF17C,Manufacturing Engineer II,AAI
F9F17B,"Supervisor I, Operations",AAI
F9F17E,Ground Test Designer,AAI
F6F17A,"Supervisor I, Flightline",AAI
FQF17C,"Supervisor I, Quality",AAI
F9F17C,Xplant Supply Chain Coord III,AAI
FCF17A,Customer Manager II,AAI
FEF17D,MAP Engineer II,AAI
FQF17D,Cust Acceptance Quality Mgr I,AAI
FQF17A,A/C Conformity Manager,AAI
FQF17E,A/C Attestation Specialist II,AAI
FEF17J,Jigs & Tools Qual Engineer II,AAI
FEF17L,Logistics Project Engineer,AAI
FBF17B,Inventory Analyst III,AAI
FHF17F,Learning Business Partner,AAI
FQF17F,Quality Engineer II,AAI
FQF17G,Quality Documnt Specialist III,AAI
F1F17E,AOS Specialist II,AAI
FEF17F,Stress Engineer II,AAI
FBF17E,Material Planner III,AAI
F9F17D,Performance Mgmt Analyst III,AAI
FBF17D,WMP Planner III,AAI
F1F17G,Industrial Maintenance Eng,AAI
FHF17E,HRBP I,AAI
FHF17G,Org Dvlp & Change Practitioner,AAI
FHF17I,Comp & Dvlpmt Business Partner,AAI
FHF17B,Technical Trainer II,AAI
FHF17H,"Supervisor, Early Careers",AAI
FGF17A,EHS Specialist II,AAI
FGF17B,Site Security Asst Mgr,AAI
FOF17C,Material Control Improv Mgr,AAI
F6F17B,Fuel Specialist,AAI
F1F17C,Site Planner II,AAI
F6F17C,Process Operational Manager,AAI
F1F17F,Resource and Competence Mgr,AAI
F8F17A,Flight Test Support Engineer,AAI
F1F17D,"Supervisor, Tool Shop",AAI
F1F17B,"Supervisor, Backshop",AAI
FDF17A,Special Events Manager,AAI
FFF17B,Tax Manager I,AAI
FFF17A,Customs Specialist II,AAI
AOA17B,Business Mgmt Specialist,AAI
AOA17A,Project Mgmt Specialist,AAI
AEA17A,Quality Engineering Specialist,AAI
ANA17A,Airline Marketing Analyst II,AAI
KIB18A,Engineer III,AAI
AHA18A,HRBP II,AAI
3I3ZZD,Sr Software Engineer,AAI
3I3ZZH,Lead Software Engineer,AAI
AMA18A,Facilities Manager,AAI
AFA18B,Payroll Manager,AAI
AHA18G,HR Compliance Manager,AAI
GHHVJN,Human Resources Generalist,AAI
AHA18B,HRIS Analyst,AAI
FIF18H,IT Asset Manager,AAI
AIA18G,DWP Product Owner - Mobility,AAI
AIA18B,Systems Analyst,AAI
AGA18C,Security Technical Manager,AAI
ARA19A,Export Trade Manager,AAI
ARA18C,Ethics & Compliance Manager,AAI
ADA18A,Communications Manager,AAI
AHAVAL,Employee Experience Sr Manager,AAI
AHA19B,Sr Benefits Analyst,AAI
APAVAW,Program Quality Manager,AAI
ALA18H,Structure Repair Engineer II,AAI
AUA18B,Engineer,AAI
ALA18T,Technical Solutions Mgr II,AAI
APAVAG,Supply Chain Qual Lead Auditor,AAI
AHA18F,Career Development Mgr,AAI
APAB4G,Joint Improvement Plan Leader,AAI
EEE11B,Sr Principal Engineer,AAI
F4S02N,Lead A/C Structure Assembler,AAI
333B4A,Project Executive,AAI
APA19D,Sr Buyer,AAI
APAVAB,Director Supply Chain Dvlp,AAI
F4S02E,A/C Structure Assembler,AAI
AKA19A,Field Svc Manager,AAI
AKA18B,Field Svc Representative Expat,AAI
3I3ZZQ,Sr Software Engineer,AAI
EEE10A,Principal Engineer,AAI
ALA18D,Tech Data Reg Support Analyst,AAI
ALA18J,Quality & Reg Compliance Mgr,AAI
ALA18G,Scheduling Manager,AAI
ALA189,Flight Trng Instructor (FAA),AAI
ALA18M,Scl Exc Vis Prg (SEVP) Manager,AAI
KIB18B,Technical Enablmnt Consultant,AAI
ALA18U,Regional Svces Market Analyst,AAI
ALA18V,Cust. Care Cntr Ops Leader,AAI
FEF18L,Tool Tech & Dev Engineer III,AAI
FOF18C,Project Manager,AAI
F9F18C,A/C Manager III,AAI
FYF18A,Executive Ops Coordinator,AAI
FPF18C,Prplsn Sys Prcrmnt Manager II,AAI
FPF18A,Supply Ordering Officer II,AAI
FPF18D,Supply Chain Qual Coordinator,AAI
FEF18G,Manufacturing Engineer III,AAI
FEF18M,ME Prod Process Verif Leader,AAI
F9F18A,"Supervisor II, Operations",AAI
FBF18D,"Manager, Logistics",AAI
FBF18B,Logistics Service Mgr,AAI
FQF18A,"Supervisor II, Quality",AAI
FEF18H,MAP Engineer III,AAI
FOF18E,Technical Project Manager II,AAI
FEF18D,Industrial Engineer III,AAI
FEF18N,Technical Project Manager II,AAI
FVF18A,ARP Product Owner,AAI
FFF18A,Financial Analyst III,AAI
FIF18D,Operational Tech Specialist,AAI
FMF18B,Construction Project Manager,AAI
FQF18C,Cust Acceptance Quality Mgr II,AAI
FEF18K,Stress Engineer III,AAI
FEF18C,Flightline Engineer,AAI
FEF18E,Interior Systems Engineer,AAI
F6F18A,"Supervisor II, Flightline",AAI
F1F18H,Industrial Maintenance Manager,AAI
AHA19G,Sr HRIS Specialist,AAI
FHF18A,Compensation Manager,AAI
FIF18G,Industrial Asset Product Mgr,AAI
FGF18A,EHS Specialist III,AAI
AGA18D,"Manager, Fire Services",AAI
FJF18C,Customer Dlvry Relations Mgr,AAI
FJF18A,Delivery Transactions Manager,AAI
FJF18B,Sales Contracts Manager,AAI
FJF18D,Commercial Planning Manager,AAI
FBF18E,Log Opertnl Exc Process Eng,AAI
FBF18C,"Manager, Inventory Control",AAI
F8F18A,"Manager, Flight Test Support",AAI
F1S18A,Project/Program Manager,AAI
FFF18E,Fixed Asset Accounting Manager,AAI
FIF18E,IM Performance Manager,AAI
FIF18F,Mfg Product Specialist II,AAI
ALA18S,Flight Sim Sys Engineer CO,AAI
AOA18B,Sr Project Mgmt Specialist,AAI
AOA18A,Sr Business Mgmt Specialist,AAI
AUA18A,Industrial & Manufacturing Eng,AAI
AVA18A,Manager Strategy & Intl LatAm,AAI
AYA18A,HO Administration,AAI
ANA18A,Airline Marketing Analyst III,AAI
ALA18N,Contracts Manager,AAI
AVA19A,"Manager, Social Value Dvlpmt",AAI
KIB19C,Engineer IV,AAI
KIB19B,Cloud Engineer,AAI
AHA19A,HRBP III,AAI
AKAVAC,Field Svc Sr Manager Expat,AAI
AKAVAE,Field Svc Director Expat,AAI
AFA19G,Sr Opertnl Accountant,AAI
AFA19F,Controller I,AAI
AFA19E,Treasury Manager,AAI
AIA19L,DWP Product Owner - Collab,AAI
AIA19X,IM Operations Specialist,AAI
AIA19I,IM Project Manager,AAI
AIA19W,Infrast & Dig WP IT Ops Spec,AAI
AIA19U,Cloud Cybersecurity Specialist,AAI
AIA19T,Sr IM Data Analytcs Specialist,AAI
APA19H,Supply Chain Quality Mgr I,AAI
AIA19G,Service Delivery Mgr,AAI
AIA19O,Cisco Voice Engineer,AAI
AIA19V,SAP Functional Specialist,AAI
AIA19M,IM Cyber Security Analyst,AAI
AGA19D,"Mgr, Reg Industrial Security",AAI
AGA19A,Sector Security Manager,AAI
AGA19B,Security Systems Admin Manager,AAI
AEA18A,Manufacturing Engineer,AAI
ADA19A,Communications Manager IIdiacr,AAI
APA19G,Conformance Manager,AAI
AHA18C,Employment Marketing Manager,AAI
FPF19B,Buyer III,AAI
AHA19I,"Manager, HR & Workplace",AAI
AHAVAB,HR Sr Manager II,AAI
AHAVBJ,"Director, Leadership Uni",AAI
APAVBG,Supply Chain Dvlp Leader,AAI
APAVBK,Supply Chain Dvlp Leader,AAI
ALA19U,"Manager, Quality Operations",AAI
ALA19O,Customer Support Manager,AAI
ALA19H,Supplier Support Manager II,AAI
ALA19L,Structure Repair Manager,AAI
ALA19J,Embodiment Operations Manager,AAI
AOA19C,Aircraft Embodiment Engineer,AAI
A0A19B,Working Party Warehouse Mgr,AAI
A0A19A,Working Party Team Lead,AAI
ALA19I,FHS Repair Manager,AAI
ALA19C,FHS Customer Ops Mgr,AAI
3E3ZZE,Principal Engineer,AAI
F9FB4A,"Sr Director, Flowline",AAI
AHA17E,Talent Acquisition Partner II,AAI
APAVBO,Lead Supply Chain Quality Mgr,AAI
ALA19R,Tech Data Reg Support Manager,AAI
ALA199,Flight Standards Manager (FAA),AAI
ALA197,Flt Trng Instructor TCE (FAA),AAI
KIB19D,Customer Success Manager,AAI
ALA19P,"Manager, Supply Engineering",AAI
AIA19K,Digital Support Manager,AAI
ALA19T,Aftermrkt Intel Reg Leader,AAI
ALA19N,Customer Srvc Perf Mgr LatAm,AAI
ALA19S,Cust. Care Cntr Sr Ops Leader,AAI
AIA19Q,Training Product Specialist,AAI
AIA19S,Airline Support & Project Mgr,AAI
F1F19E,"Manager, Competency Planning",AAI
F1F19I,Change Agent Expert,AAI
FOF19B,Technical Project Manager III,AAI
FEF19G,"Manager, Short Term Planning",AAI
FPF19A,Cabin Line Side Spt Spclst II,AAI
FCF19A,Lead Customer Manager,AAI
FQF19A,A/C Certifying Mgr,AAI
FHF19A,HRBP II,AAI
FGF19C,"Mgr, EHS Govern & Culture",AAI
FFF19A,Controller I,AAI
FIF19C,Infrastructure Project Mgr II,AAI
FQF19E,Quality Integration Manager,AAI
F1F19C,Lean Improvement Expert,AAI
FHF19D,Pos Employee Relations Mgr,AAI
APA18A,Logistics Specialist,AAI
FHF19C,"Manager, Early Careers",AAI
FIF19G,Sr Network Engineer,AAI
FGF19B,"Manager, Site Security",AAI
F1F19A,"Manager, Facilities",AAI
FBF19B,"Manager, Marketplace Delivery",AAI
F1F19H,"Manager, Site Planning",AAI
FCF19B,"Manager, Competency Planning",AAI
F1F19B,"Manager, Tool Shop",AAI
F1F19G,Backshop Manager,AAI
FFF19D,SAP Sr Analyst,AAI
FMF19A,Facilities Asset Manager,AAI
FFF19C,ERM Manager,AAI
ALA19E,"Manager, Technical Operations",AAI
AYA19C,Chief of Staff,AAI
AIA19N,PLM IM Applications Specialist,AAI
AOA19A,Project Manager II,AAI
AOA19B,Sr Business Mgmt Specialist II,AAI
ALA19M,"Sr Manager, Credit Mgt & Svcs",AAI
AHA19C,HR Sr Manager I,AAI
SHT21A,HR Generalist,AAI
SWT21A,"Supervisor, Warehouse",AAI
SPT21J,Buyer,AAI
SLT22A,Customer Order Analyst,AAI
SLT22G,Used Parts Specialist,AAI
SLT22H,Tool Product Lead,AAI
SLT22D,Repair Shop Liaison Manager,AAI
SBT22A,Supply Chain Analyst II,AAI
SWT22B,"Supervisor, Shipping",AAI
S5T22A,Data Engineering Specialist,AAI
SST22I,Accounts Executive,AAI
SFT22A,Sr Financial Accountant,AAI
SLT22E,A220 Resolution Manager,AAI
SWT22C,Hose Production Lead,AAI
SPT22A,A220 Product Supply Lead,AAI
SLT22C,Planning and Product Lead,AAI
SBT22B,Transportation Specialist,AAI
SST23D,Material Support Manager,AAI
S5T23A,Trade Compliance Specialist,AAI
S5T23C,SAP Specialist,AAI
SST23H,Key Account Manager,AAI
SST23C,Commercial Analytics Manager,AAI
SQT23A,Chief Inspector,AAI
SQT23B,HO Quality,AAI
SLT24H,Data Analyst & Automation Mgr,AAI
SIT24A,Process & Performance Mgr,AAI
S7T24C,Provisioning Support Manager,AAI
SLT24A,HO COD Americas I,AAI
SBT24A,Logistics Process Improvement,AAI
SOT24G,Project/Program Manager I,AAI
S5T24G,Business Process Manager,AAI
SWT24C,HO Pick and Pack and Carpentry,AAI
SBT24B,Logistics Project Manager,AAI
SBT24C,Planning Lead,AAI
SNT24B,Digital Campaign Manager,AAI
S5T24B,Product Manager,AAI
S7T24A,Service Manager Tool A220,AAI
SLT24C,AOG Manager,AAI
S5T24F,Sup Chain & Proc Imprvmt Mgr,AAI
SOT24A,Project Manager,AAI
S5T24E,Perf. & Improvement Manager,AAI
S5T24A,Business Improvement Manager,AAI
SFT24B,Finance Process & Imprvmt Mgr,AAI
SLT24J,Heavy Maintenance Manager Lead,AAI
S5T24D,HO Collins Product Management,AAI
SPT24G,Manager - Procurement,AAI
SWT24B,Warehouse Team Manager,AAI
SGT19A,EHS Manager,AAI
SST25A,Account Director,AAI
SLT25A,HO Customer Prod & Comms,AAI
SFT25F,Director Finance & Accounting,AAI
SHT25A,HR Business Partner,AAI
S7T25A,Sr Product & Service Mgr A220,AAI
S5T25B,Product Lead,AAI
AHA25A,HR Business Partner,AAI
SLT26E,Director Material/Logistics,AAI
AFAVAD,Functions Cntlr ERM Analyst,AAI
SST26B,Business Development Director,AAI
SLT26B,HO Logistics Americas,AAI
SOT26B,HO A22O Program Management,AAI
SHT26A,Sr HRBP,AAI
SIT26B,HO Information Mgmt,AAI
SOTVAA,HO A220 Resolution Management,AAI
SST26E,Director Sales,AAI
SST26C,Business Development Sr Mgr,AAI
SPT26A,"Manager, Procurement",AAI
SOT26A,HO Repair & Prod Amr Whse Mgmt,AAI
SQT26A,HO Quality Americas,AAI
SFT27A,HO Finance Americas,AAI
SRT27A,"HO Legal, Compl, & Contracts",AAI
SOTVBA,HO Operations Planning America,AAI
KYA05A,Office Manager,AAI
AAAB4A,Chief of Staff to Chmn & CEO,AAI
AHAB4A,HR Sr Director,AAI
ARAB4B,Sr Legal Counsel II,AAI
AHAB4C,"Sr Director, HR US Commercial",AAI
AMAB4A,Real Estate & Facilts Director,AAI
AVAB4B,HO Compet Intellig & Strategy,AAI
AVAB4A,"Sr Director, Transf & Sustain",AAI
F4S02K,Lead A/C Electrician Installer,AAI
AFAB4D,"Sr Director, Accounting",AAI
AFAB4A,Controller,AAI
AFAB4B,Tax Director,AAI
AFAB4C,HO Sales Finance,AAI
AIAB4H,HO Governance & Transf IM,AAI
AIAB4D,HO Corp Solutions Dgtl Enblmnt,AAI
AIAB4I,"Sr Dir, IM Cust Sols & Prgrms",AAI
AGAB4A,VP Safety & Technical Affairs,AAI
AGAB4C,HO Security & Crisis Mgmt,AAI
AIAB4E,HO Cyber Security,AAI
ARAB4C,HO Ethics & Compliance Culture,AAI
ARAB4E,HO Export Control,AAI
ARAB4D,HO Legal & Compliance LatAm,AAI
ADAB4B,HO Communications LatAm,AAI
APAB4A,HO Procurement Operations,AAI
AGAVBE,"Director, Security Operations",AAI
APAB4C,Prplsn System Ops Sr Director,AAI
APAB4H,HO Strategic Procurement,AAI
APAB4F,"Sr Director, Reg Proc Contract",AAI
AHAB4D,Affiliate Govern Sr. Director,AAI
SHTB4A,HO HR Satair,AAI
ALAB4G,HO Fleet Efficiency & Eng,AAI
ALAB4F,HO Training Center,AAI
SATB4A,President Satair,AAI
SOAB4A,HO Operations Americas,AAI
ALAB4B,VP Services/Customer Support,AAI
3A3B4A,Chief Operating Officer (COO),AAI
FEFB4A,"Sr Director, Technical Support",AAI
FQFB4A,"Sr Director, Quality",AAI
F6FB4A,"Sr Director, Flightine & Dlvry",AAI
F6FB4B,Cust Line Integ Project Leader,AAI
FOFB4A,"Sr Dir, Single Aisle Ramp-Up",AAI
F4FB4A,Sr Director A320 Project Mgmt,AAI
FAFB4D,HO A220 Operations,AAI
FBFB4B,"Sr Director, WMP Ops Supp A220",AAI
FAFB4C,HO A220 Program,AAI
SSTB4B,"Sr Director, Business Dvlpment",AAI
FHFB4A,"Sr Director, HR",AAI
AIAB4F,HO NA IM Operations & FAL,AAI
FBFB4A,"Senior Director, EHS",AAI
F1FB4B,"Sr Director, Site Services",AAI
FVFB4A,"Sr Director, Strategy & Transf",AAI
